User_ID,Book_ID,Book_Title,Recommendation_Score
5,11186,"Franklin's Neighborhood (Franklin)",2
5,3575,"Daddy Again (By Request) (Harlequin by Request)",2
5,63629,"Whores and Other Feminists",2
5,61646,"Der Zweite.",1
5,34692,"Le prince",1
7,2837,"In Praise of Cats",4
7,2858,"Lame (Collection Sextant)",3
7,28808,"Key Problems of Sociological Theory (International Library of Sociology)",2
7,28807,"Isabel and the Sea (Century Travellers Series)",2
7,8667,"Sisters And Strangers",2
10,83764,"Stille Nacht. Unheilige Weihnachten.",2
10,13604,"The Green Mile",1
10,1612,"Die Nadel",1
10,85019,"Heed the Thunder (Vintage Crime/Black Lizard)",1
10,982,"Jacob Marley's Christmas Carol",1
11,1455,"Ill Wind (Anna Pigeon Mysteries (Paperback))",3
11,52904,"My Long Tall Texas Heartthrob",3
11,9518,"The Golden Compass (His Dark Materials, Book 1)",3
11,19591,"3 Plays: Our Town, the Skin of Our Teeth, the Matchmaker (Perennial Classics)",1
11,45506,"Jedediah Smith and the Opening of the West",1
13,11774,"A Killing Sky: A Frank Pavlicek Mystery (Frank Palvicek Mysteries (Paperback))",8
13,1691,"What to Expect the First Year",8
13,875,"I Hadn't Meant to Tell You This",8
13,44818,"Deadlines & Datelines",7
13,20273,"Born Fundamentalist, Born Again Catholic",6
15,40911,"Treasury Of The Worlds Best Loved Poems",10
15,56112,"Intimate Betrayal",10
15,56105,"Years",9
15,12129,"Scarlet Feather",5
15,9543,"Doomsday Book",5
16,89034,"Death of an Englishman: A Marshal Guarnaccia Investigation",10
16,89032,"Rock 'N' Roll Trivia: A Rollicking Ride Through the Glory Days of Rock 'n' Roll",10
16,89026,"The First Mountain Man",10
16,89019,"Heart And Soul (Love Inspired, 251)",10
16,89016,"The Close: A Young Woman's First Year at Seminary",10
18,42588,"The best of British cooking",10
18,42583,"The Craft of the Cocktail: Everything You Need to Know to Be a Master Bartender, With 500 Recipes",10
18,42578,"A Picture Guide to Chess",10
18,42574,"Pieniny (Krainy piekna)",10
18,42570,"Floyd on France: Learn to Cook the Floyd Way",10
19,2271,"Growing Pains of Adrian Mole",1
19,35860,"Good Times, Bad Times",1
19,103047,"Peace Is Every Step: The Path of Mindfulness in Everyday Life",1
19,57479,"A Regular Guy : A Novel",1
19,103048,"American dad",1
20,88,"Team Bush : Leadership Lessons from the Bush White House",4
20,102286,"The Mummy's Ransom",2
20,1179,"Tales of the City (Tales of the City Series, V. 1)",1
20,1155,"Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover))",1
20,1127,"Tollivers Reisen. Stadtgeschichten IV.",1
21,14305,"The Grilling Season",4
21,18296,"The Water Garden Design Book",4
21,102618,"And Then There Were Three (Silhouette Special Edition)",4
21,102610,"The Last Good Man In Texas (Silhouette Desire)",4
21,102601,"Prickly Pear",4
23,12699,"The Raven in the Foregate (Brother Cadfael Mysteries)",3
23,13305,"A Little Prairie House (Little House Picture Book)",3
23,11396,"Skateboard Tough (Matt Christopher Sports Classics)",2
23,98953,"Celine Dion : My Story, My Dream",2
23,36185,"Mortal Remains: An Adam McCleet Mystery",2
25,393,"The Complete Book of Incense, Oils & Brews (Llewellyn's Practical Magick)",5
25,391,"The Crystal Handbook",5
25,135102,"Statistics Without Tears: A Primer for Non Mathematicians",3
25,3914,"American Fuji",3
25,67234,"I Saw You First",3
27,50576,"In Hot Pursuit",6
27,98636,"Der wiedergefundene Freund.",5
27,23831,"Sweet Death, Kind Death (Kate Fansler Novels (Paperback))",5
27,23827,"The Fear Sign",4
27,88,"Team Bush : Leadership Lessons from the Bush White House",4
28,128029,"Acts of Vengeance: A Mystery",10
28,30938,"Dear Stranger, Dearest Friend : A Novel",10
28,128030,"My Sherlock Holmes: Untold Stories of the Great Detective",10
28,128027,"The Best Man : Four Sensuous Novellas",10
28,128025,"The Bridge of Sighs: A Novel",10
30,12326,"In Search of Excellence",1
30,9991,"Chasing Redbird",1
30,20588,"Two Weirdos and a Ghost",1
30,1755,"Climbing Mt. Shasta: Route 1, Avalanche Gulch",1
30,74937,"The Year's Best Horror Stories: XVIII",1
32,100878,"Inside Central America: It's People, Politics and History",6
32,67814,"Portrait in Blood (Amazing Stories)",5
32,69228,"Intercambios",1
32,69215,"Classic Crews : A Harry Crews Reader",1
32,69213,"DEEPER : ADVENTURES ON THE NET",1
33,6270,"Dix Heures Et Demie Du Soir En Ete (Folio, No 1699)",6
33,874,"Lena (50 State Quarters)",4
33,112872,"The Spoils of Poynton (World's Classics)",4
33,8546,"Star Country",4
33,2845,"A Solitary Blue (Point)",3
34,617,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",2
34,2837,"In Praise of Cats",2
34,3779,"Wall of Brass",1
34,24379,"Devotional Classics : Selected Readings for Individuals and Groups",1
34,18290,"BAD DREAMS (FEAR STREET ) : BAD DREAMS",1
36,39981,"The High Deeds of Finn Mac Cool",8
36,135182,"The Third Revolution: Population, Environment, and a Sustainable World (Penguin Politics)",7
36,129576,"The Dragon Charmer",6
36,98624,"Altered Carbon",5
36,98622,"Spygirl : True Adventures from My Life as a Private Eye",5
38,41364,"Mistletoe Man (China Bayles Mysteries (Hardcover))",3
38,56858,"The Blackwater Lightship : A Novel",3
38,289,"Poisonwood Bible Edition Uk",3
38,56863,"The Crazy World of Cats (Crazy World Series)",2
38,294,"The Forsyte Saga : The Man of Property and In Chancery",2
40,8701,"ADVENTURES OF HUCKLEBERRY FINN (ENRICHED CLASSIC ) : ADVENTURES OF HUCKLEBERRY FINN",10
40,34607,"Island Of The Dawn",10
40,28696,"Kindred Spirits (Dragonlance: The Meetings Sextet, Vol. 1)",10
40,122472,"Loving a Younger Man",7
40,31959,"The Last Housewife: A Suburban Detective Mystery (Suburban Detective Mysteries)",7
41,48742,"Tales of the Living Dead (Scare Your Socks Off)",10
41,48740,"Haunted Baby-Sitters: True Ghost Stories (True Ghost Stories)",10
41,48739,"Max Is Back (Jeffrey and the Fourth Grade Ghost, No 1)",10
41,48738,"Baby Elephant (Baby)",10
41,48737,"Jester in the Backcourt (Alden All Stars)",10
44,1799,"Metaphysical Lyrics Poems 17 Cen",10
44,22654,"Coram Boy (Contents)",10
44,9496,"The Healer  (Deep in the Heart)",10
44,48481,"Dream Man",10
44,14441,"Small World",10
45,747,"Der gemietete Mann.",4
45,193,"Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.",4
45,210,"The Tall Pine Polka",4
